id_permiso,id_instalacion,patente_barco,fecha_atraque,fecha_salida
1,140,DK4889,2018-04-20 06:06:35,2018-04-27 23:05:22
4,179,NN8091,2015-05-06 12:46:36,2015-05-10 11:47:27
6,51,NT2280,2011-08-17 07:29:06,2011-08-31 22:37:39
8,83,UJ2611,2017-12-24 07:51:47,2018-01-04 02:06:45
11,76,AI9121,2019-06-29 02:45:33,2019-07-04 19:21:17
12,30,TG8958,2018-02-28 07:06:16,2018-03-14 04:02:30
13,29,ZP4420,2020-10-27 20:37:49,2020-10-28 11:03:15
15,116,NX3376,2017-06-17 12:12:29,2017-06-22 03:02:33
17,43,IX1197,2021-07-22 07:14:50,2021-07-23 06:38:09
18,126,GS9663,2021-01-15 03:33:43,2021-01-15 20:51:43
19,113,IX1197,2020-11-25 00:28:10,2020-11-25 15:33:55
21,109,SV9482,2020-09-17 02:48:54,2020-09-27 19:13:59
22,69,RO9221,2020-04-11 20:34:46,2020-04-18 14:55:23
23,94,RP8314,2020-09-11 13:15:38,2020-09-22 07:26:05
25,25,MY3367,2011-08-22 23:52:28,2011-09-01 20:14:47
26,15,WW2485,2017-08-09 02:19:41,2017-08-14 23:05:05
29,122,QJ1463,2020-07-27 09:06:46,2020-08-05 06:47:53
31,159,OT5458,2021-05-11 07:46:01,2021-05-21 02:54:41
32,79,UZ5981,2019-10-23 18:39:01,2019-11-02 09:44:20
33,113,PJ3020,2019-03-04 01:49:48,2019-03-18 16:50:34
38,70,XP9141,2014-08-06 13:46:49,2014-08-20 11:11:52
39,33,RA3983,2011-06-04 05:02:34,2011-06-15 00:10:17
44,214,YC1851,2020-10-17 04:13:53,2020-10-17 21:39:29
52,189,DG5218,2020-10-30 00:12:52,2020-10-30 22:23:51
53,38,VW7522,2012-09-25 23:55:54,2012-10-02 14:09:47
54,60,AM9504,2020-09-01 18:29:23,2020-09-11 11:02:39
62,91,QJ6353,2019-01-31 10:28:50,2019-02-09 09:54:03
63,50,DT6703,2012-02-18 08:38:35,2012-02-29 03:03:56
67,116,FO3430,2021-01-13 17:40:56,2021-01-14 12:39:51
68,49,AU5998,2021-04-01 00:09:50,2021-04-01 20:48:52
72,104,MO4968,2021-06-19 05:17:54,2021-06-20 03:58:24
76,51,FS3778,2019-03-16 21:55:49,2019-03-28 20:58:50
77,9,ON7101,2017-01-25 03:34:12,2017-02-03 18:22:26
79,83,DV6261,2019-07-31 22:56:09,2019-08-11 15:39:42
80,63,PZ3477,2010-09-22 06:16:17,2010-09-30 22:59:32
81,105,DA9671,2021-02-04 12:12:33,2021-02-05 11:25:59
84,94,RV9799,2016-04-21 05:46:57,2016-04-28 00:04:22
87,101,HK6767,2010-03-19 23:07:33,2010-03-26 22:25:32
93,58,HK6767,2019-10-17 15:54:18,2019-10-26 12:41:41
94,169,VP2429,2021-09-06 04:02:26,2021-09-20 18:08:36
96,214,FE1567,2016-12-25 05:03:19,2017-01-09 03:15:19
97,30,OH1392,2020-11-12 17:07:56,2020-11-13 09:40:38
100,48,UJ2611,2013-07-26 06:45:21,2013-08-05 04:55:56
105,51,RW4421,2017-02-14 21:56:27,2017-02-26 19:31:51
107,83,VG7905,2017-05-19 23:17:39,2017-06-01 19:31:24
114,10,ED5736,2019-02-19 02:14:08,2019-03-03 01:19:42
118,6,ZV9679,2017-02-09 21:50:19,2017-02-24 21:46:47
121,43,ZV8179,2016-07-16 00:43:30,2016-07-22 20:19:47
125,94,RH8308,2021-01-09 04:49:05,2021-01-15 04:23:52
127,191,NX3376,2020-12-08 06:17:17,2020-12-09 05:22:08
128,91,PR9667,2021-05-01 02:45:37,2021-05-13 19:34:14
131,134,DY6365,2021-07-03 18:49:48,2021-07-04 18:01:32
136,187,FI2331,2021-01-11 15:52:07,2021-01-12 06:15:54
138,83,FS3778,2011-11-21 03:04:28,2011-11-27 02:57:04
139,34,IX1197,2021-04-07 10:04:16,2021-04-22 02:50:58
140,51,EI5702,2015-05-20 15:15:45,2015-05-27 11:14:41
144,134,HF4402,2015-04-12 01:49:38,2015-04-24 18:12:55
145,135,OA5815,2015-08-22 18:46:19,2015-08-27 10:56:41
148,38,AI9121,2012-01-13 07:29:40,2012-01-24 07:24:51
149,167,RO9221,2017-06-13 13:12:45,2017-06-17 10:01:53
150,164,EH9187,2021-08-31 15:11:51,2021-09-01 12:10:36
152,113,SL2391,2018-01-24 22:50:57,2018-02-08 18:10:36
163,146,QL4591,2020-09-24 10:14:01,2020-09-28 10:08:02
165,109,LA5643,2021-06-10 07:00:54,2021-06-11 03:28:19
169,44,XP9141,2020-09-21 07:31:18,2020-09-21 21:52:03
173,9,VW7522,2014-02-04 23:00:16,2014-02-14 19:30:27
174,122,LD3618,2015-05-26 20:38:50,2015-06-01 20:20:34
175,182,HF1544,2015-12-28 22:11:40,2016-01-07 17:22:44
181,99,FE1567,2018-07-06 22:16:39,2018-07-13 13:45:18
186,195,IX1197,2013-06-18 07:54:37,2013-06-28 23:27:05
189,15,VX5561,2021-01-12 14:47:25,2021-01-13 08:54:34
191,38,NT2280,2021-07-05 10:15:10,2021-07-06 06:26:23
194,53,UE6214,2014-11-12 12:01:25,2014-11-24 04:51:12
195,112,HH5472,2017-02-10 14:47:09,2017-02-18 06:52:37
198,6,UO8744,2021-06-17 01:52:24,2021-06-17 22:20:20
200,126,OF5956,2021-07-08 06:01:34,2021-07-09 03:24:01
203,99,UW2735,2019-05-20 20:38:51,2019-05-25 11:35:23
205,45,OH1392,2021-05-13 18:57:35,2021-05-18 17:06:56
208,122,PZ1913,2012-06-21 03:27:59,2012-06-27 19:57:49
212,180,DQ3759,2013-10-27 18:19:08,2013-11-01 14:56:51
215,168,EV7485,2020-11-23 03:14:28,2020-11-24 03:02:28
224,133,BF7024,2013-11-15 05:24:18,2013-11-28 00:22:08
225,136,IT1233,2012-11-11 01:48:27,2012-11-22 22:01:52
227,189,FU8868,2015-04-13 02:06:49,2015-04-25 20:44:18
230,213,KH8053,2014-10-19 08:06:22,2014-10-28 07:34:07
233,181,OF5460,2018-02-17 12:50:16,2018-02-28 05:42:52
235,72,LR2069,2020-10-13 02:41:08,2020-10-13 23:41:42
240,179,EB3227,2018-09-08 22:43:03,2018-09-16 14:26:47
241,113,IX1197,2021-01-16 12:18:04,2021-01-17 06:44:22
245,136,BF7024,2020-10-01 15:08:05,2020-10-02 06:18:57
249,111,WF3051,2021-06-07 14:27:48,2021-06-08 05:51:34
252,44,RV9799,2011-07-06 16:33:06,2011-07-14 16:06:27
254,79,KQ3854,2020-08-11 10:04:04,2020-08-17 01:52:38
255,108,LD3618,2020-11-27 02:42:01,2020-11-30 19:21:56
257,157,YB1434,2010-09-01 06:59:50,2010-09-07 23:05:28
263,179,WI9449,2013-10-02 23:29:26,2013-10-11 14:24:05
264,101,AL8743,2017-07-12 08:34:35,2017-07-16 07:10:27
267,166,LA5643,2021-01-18 01:11:17,2021-01-19 01:07:33
268,49,YT2845,2017-07-27 15:51:37,2017-07-31 10:23:40
269,134,AM9504,2021-04-09 21:23:48,2021-04-14 13:13:42
270,122,EY2745,2019-04-02 05:26:23,2019-04-08 04:19:00
275,131,FS3778,2021-04-28 06:52:45,2021-04-29 01:47:30
276,8,IJ4552,2021-06-04 11:29:28,2021-06-16 07:24:46
277,32,OA5815,2014-08-04 06:30:06,2014-08-12 22:29:25
278,10,OF5460,2021-03-02 20:16:13,2021-03-03 13:42:59
281,69,VC7492,2017-11-11 02:39:34,2017-11-14 17:38:09
282,187,QL4591,2011-03-08 22:03:18,2011-03-19 17:02:22
283,9,FO3430,2015-01-12 17:27:56,2015-01-25 09:18:14
285,32,RH8308,2021-06-02 15:20:26,2021-06-03 11:29:20
